Model,Metric,Chunking,Prompt Extension,Top K,Prompt,llm_scores,weighted_score,cosine_similarity
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.7, 1.0]",0.88,0.875643
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.5, 0.8]",0.76,0.817604
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.8]",0.9,0.72593
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.758663
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 0.9, 0.9]",0.92,0.606165
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.726696
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.5, 0.8]",0.76,0.817604
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.656962
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.497742
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.606466
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.843293
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.8]",0.9,0.55969
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.776484
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.836979
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.6, 1.0, 1.0, 0.8]",0.88,0.687678
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.791117
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.837841
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.5, 0.8]",0.78,0.774664
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 0.7, 0.8]",0.86,0.74297
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.841008
snowflake-arctic-embed-m,cosine,recursive character text splitter,TRUE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[0.0, 0.0, 0.1, 0.0, 0.0]",0.02,0.059113
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 0.9]",0.88,0.73844
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.519322
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.8, 1.0]",0.92,0.825681
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.576206
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.7, 1.0]",0.86,0.828217
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.7, 0.8]",0.8,0.607523
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 0.9]",0.94,0.566132
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.701433
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.539605
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.9, 0.9]",0.88,0.714987
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.7, 1.0]",0.86,0.873447
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.55802
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.777279
snowflake-arctic-embed-m,cosine,spacy text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.9, 1.0, 1.0, 1.0]",0.98,0.531813
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.605225
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.626095
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.889591
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.835459
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.726264
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.828083
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.7, 1.0]",0.86,0.852044
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.8]",0.9,0.746688
snowflake-arctic-embed-m,cosine,spacy text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.879301
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.798224
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.8, 0.9]",0.86,0.718483
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.8]",0.9,0.660148
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.769125
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.543475
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 1.0, 0.9]",0.92,0.73352
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.669532
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.765543
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.474288
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.566738
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.5, 1.0, 0.9, 0.9]",0.86,0.737736
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.455915
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 0.7]",0.9,0.718017
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.512395
snowflake-arctic-embed-m,euclidean,character text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.524008
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.750996
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.7, 0.9]",0.84,0.709907
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.6, 1.0, 0.7, 0.8]",0.82,0.724965
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.9, 1.0]",0.98,0.849923
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.9, 1.0]",0.9,0.689907
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 0.7, 1.0]",0.9,0.544354
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.7, 1.0]",0.94,0.876814
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.9, 1.0]",0.9,0.723962
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.725749
snowflake-arctic-embed-m,euclidean,character text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.811774
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.8, 1.0, 0.9, 0.9]",0.92,0.788973
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.5, 0.9]",0.82,0.780268
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.9]",0.92,0.659737
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.8, 1.0]",0.92,0.754678
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.632441
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.7, 1.0]",0.86,0.875643
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.5, 1.0, 0.5, 0.8]",0.76,0.817604
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.466766
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.9, 1.0, 0.7, 1.0]",0.92,0.790588
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.7, 1.0, 0.9, 0.8]",0.88,0.532044
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.695466
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 0.9]",0.88,0.616642
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.665364
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.829962
snowflake-arctic-embed-m,euclidean,recursive character text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.614097
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.7991
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.552323
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.776484
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.846442
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.8, 0.9]",0.88,0.843869
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.9]",0.92,0.564367
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.859641
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.770008
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 0.7, 0.8]",0.86,0.74297
snowflake-arctic-embed-m,euclidean,recursive character text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.7, 1.0]",0.9,0.84361
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.717493
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 0.9]",0.88,0.746305
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.519322
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.762741
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.9, 1.0, 0.9, 1.0]",0.96,0.55662
snowflake-arctic-embed-m,euclidean,spacy text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.756553
